PHASE	Cell	PC1	PC2	time
S	C663	-1.08446656166597	3.50526702323719	4
S	C690	-1.08599753230112	1.66596143031783	4
S	C709	-1.08771558365833	2.66632280196424	4
S	C187	-1.09545284308739	4.7048396637921	4
S	C8	-1.10314417778774	2.50317058745627	4
S	C525	-1.20162535906681	3.91824908900625	4
S	C554	-1.20450826543321	4.33578175139381	5
S	C162	-1.24371776663678	3.68193875207234	5
S	C422	-1.28062109461905	2.88422403619508	5
S	C442	-1.36795847398872	4.70212728539311	5
S	C854	-1.44914879719327	2.28105429400329	5
S	C641	-1.60359286985717	3.23580157698552	5
S	C262	-1.6155656068918	3.5712456900949	5
S	C659	-1.64050910979218	1.51023694053249	5
S	C869	-1.64779606740632	5.13784212622002	5
S	C679	-1.67177171779149	4.80861900628794	5
S	C538	-1.70149455628231	3.54348264544987	5
S	C586	-1.73927740329488	1.86482502258376	5
S	C585	-1.79515720643818	4.3048815325002	5
S	C617	-1.7968006543285	4.33245943858797	5
S	C247	-1.81775862472854	2.64912223071651	5
S	C159	-1.82630040607038	3.26846781971053	5
S	C46	-1.82646845078995	4.48822562666049	5
S	C49	-1.82789789776217	3.65825766583948	5
S	C357	-1.84661242427065	3.31632874942721	5
S	C483	-1.91965904193714	4.04150609266541	5
S	C583	-1.94487637786299	3.44076759259581	5
S	C850	-1.95225813536609	5.88009256997134	5
S	C341	-2.02092996162311	3.92736930603517	5
S	C299	-2.03346932854148	2.71203310786116	6
S	C285	-2.11051363663158	3.68590168888327	6
S	C48	-2.13403431103828	3.26303376539248	6
S	C288	-2.17396590824482	2.5513556034107	6
S	C242	-2.28897615066194	1.36521965841241	6
S	C347	-2.29235513848587	2.26124014341074	6
S	C127	-2.31271684807132	2.40437247762513	6
S	C221	-2.43596723725062	1.6542934182653	6
S	C457	-2.45071092063397	2.71675945854676	6
S	C130	-2.47265818048722	3.37459115127486	6
S	C619	-2.59744113449783	2.47398686666588	6
S	C283	-2.75667773771377	1.80696222971327	6
S	C738	-2.77345149977565	3.96409388966163	6
S	C514	-2.80666773272397	4.76238612061598	6
S	C129	-2.85903307568551	3.805835116588	6
S	C720	-2.88158751552615	3.84585992074363	6
S	C311	-3.09742604151784	4.27534368511126	6
S	C405	-3.09867071060807	1.45950422784049	6
S	C542	-3.13453155089948	3.19702203355186	6
S	C540	-3.13561224885867	1.47057778324731	6
S	C12	-3.45809666375087	2.03405290602321	6
S	C460	-3.4773106468698	3.77629006689933	6
S	C263	-3.70699013247575	1.32778089171992	6
S	C562	-3.75717540927916	2.79049188148446	6
S	C140	-3.77977633427335	3.77253469409198	6
S	C259	-3.89974788216326	2.35993975081733	6
S	C109	-3.90990144844648	3.04788641034542	6
S	C110	-4.06854013096167	1.84273344850973	6
S	C466	-4.10430310082152	4.63375964116041	6
G2	C9	-0.433493690489834	-2.20279643041817	7
G2	C21	-4.21214056312952	-6.57641293071182	7
G2	C26	-4.1146105688218	0.56759311614686	7
G2	C34	-2.91488875708461	1.99778571358461	7
G2	C36	3.04385171608017	0.163025505587913	7
G2	C39	-1.92064292635529	1.27911608262877	7
G2	C60	0.358330470704506	3.47386786360123	7
G2	C65	-0.908634140233964	1.75816776998539	7
G2	C71	-5.63877972403194	1.35354038691247	7
G2	C73	-3.15067688196586	1.85907789731891	7
G2	C77	-3.8742611731882	2.777803753967	7
G2	C79	-1.46397550058281	2.75166691983047	7
G2	C82	-3.96366842379824	1.15574878827356	7
G2	C91	-4.94813796569777	-3.92696711462216	7
G2	C102	-1.38136626069636	1.18231566970154	7
G2	C105	-0.228415643997205	2.13505421452391	7
G2	C107	-1.48489506489934	0.737306105410232	7
G2	C114	-3.18290641422063	1.76964043192548	7
G2	C138	-3.02526647127269	0.161606291113363	7
G2	C141	-1.94288152959498	-0.929595154486266	7
G2	C147	-3.17149118458487	3.75814177994432	7
G2	C148	-0.816167252630645	2.74228018256359	7
G2	C151	-5.19188774449461	0.339825461251426	7
G2	C176	-4.98749950447955	1.76368693378194	7
G2	C208	-1.87857670666935	-1.35476974175759	7
G2	C229	-2.27524219111082	-0.46580711162351	7
G2	C233	0.177865876807308	3.0427251470788	7
G2	C240	-1.95027883021757	0.950442634575597	7
G2	C245	-1.5549126251891	0.832584811956675	7
G2	C275	-0.187032716680412	2.34408881652132	7
G2	C278	11.3523304151974	-7.61046948348158	7
G2	C290	-1.63606637771466	3.40184413030154	7
G2	C293	0.307039529849886	2.13605291198913	7
G2	C294	-5.1583869229036	0.727490992128315	7
G2	C322	-1.92718889916162	2.20800013745831	7
G2	C336	-4.17730147861762	1.27884970362178	7
G2	C339	-6.30085483834955	-1.1991520009699	7
G2	C353	-1.26646380348516	1.15535840362601	7
G2	C356	2.13634839110362	0.742561981895202	7
G2	C372	-2.26571939714822	2.75114228317273	7
G2	C382	-3.65159942312474	2.29299085334752	7
G2	C384	-3.24707970566941	2.58948450525215	7
G2	C392	-1.40086203189007	3.8484314429961	7
G2	C413	-1.33310559067705	2.54700095736372	7
G2	C420	-4.78478158023604	-0.0331575672898965	7
G2	C430	-1.77403105931218	2.47040846217736	7
G2	C431	-3.35843794459053	1.49761829758182	7
G2	C449	-2.21544611431645	3.6604941022748	7
G2	C453	-3.70576559890608	1.33410541842325	7
G2	C487	-2.21272590633504	3.59084958627092	7
G2	C497	-3.94325383656487	1.64364602365949	7
G2	C504	-4.79674857457907	1.58722357148248	7
G2	C506	-1.90300122318301	0.723827009410926	7
G2	C511	-2.94348069671839	2.72876090481021	7
G2	C518	-3.04964153237662	1.68060461201931	7
G2	C557	2.80248172308974	3.43985745931244	7
G2	C571	-4.02307848655127	0.418041556066093	7
G2	C572	-1.95688576407833	-0.0630564077126002	7
G2	C577	-2.44473547879534	2.4611864910361	7
G2	C579	-1.52573297473203	3.03129239874315	7
G2	C614	-1.16931675416999	2.79355340932751	7
G2	C622	-2.79160262941879	2.32535076827312	7
G2	C623	-2.06362547849467	1.82788922710654	7
G2	C634	-1.20844626625546	4.43582761462077	7
G2	C639	-2.02481932227878	-1.52058409246084	7
G2	C644	-0.637864766995168	1.85844203327687	7
G2	C651	3.30539973686688	1.43321658839157	7
G2	C654	-0.752698240102324	1.24808965150362	7
G2	C677	-1.37315182393299	2.22887043350706	7
G2	C722	-4.41784355370283	-0.766182481209045	7
G2	C731	-1.77500981866819	2.76783639122392	7
G2	C736	-0.7402035622515	3.78743236926806	7
G2	C742	-4.538176837737	-0.284825661727938	7
G2	C746	-4.51944505175689	0.113477342845223	7
G2	C748	-1.44056807798502	2.91902177927927	7
G2	C750	-4.49030098596568	-0.199270642755577	7
G2	C753	-3.88580473998748	-2.96490971545611	7
G2	C760	-2.66136208893026	1.2728242010074	7
G2	C769	-2.41336729003824	1.21328176661723	7
G2	C795	-4.98364078690067	-0.75105474094035	7
G2	C797	-2.77069945573235	-0.87431718802763	7
G2	C802	-3.09063334957083	1.44157291861594	7
G2	C813	0.144530189253777	1.96973653559099	7
G2	C831	-1.16775121656388	4.36292972892664	7
G2	C856	-3.39594521496021	-0.282112803747849	7
G2	C882	-3.73920460612061	1.31359092403671	7
