Symbol	Liver_d16_Cyt49	Liver_d5_Cyt49	Liver_d8_Cyt49	Panc_d12_Cyt49	Panc_d5_Cyt49	Panc_d8_Cyt49	ESC_Cyt49
KIR2DL1	107.0200836	105.2062163	100.6445971	103.1983698	103.6050326	100.7022543	104.1698186
KIR2DL2	99.49672319	107.8163703	104.8986491	103.0026185	96.05832161	105.9513548	104.9922569
KIR2DL3	90.53666292	93.98535158	88.73222679	90.4808275	89.31522096	91.19568279	90.78329801
KIR2DL4	92.31606468	95.66022858	95.08050935	92.38004964	95.71564721	90.61418405	92.666711
KIR2DL5A	96.52422688	96.65533664	98.48846125	98.70320731	96.53509702	96.7456678	96.46894723
KIR2DL5B	100.4357076	94.25373841	96.76972797	95.39116252	89.39749038	96.64536175	95.23503743
KIR2DS1	94.21501196	96.86863537	103.115184	101.6780991	103.6242914	99.94733284	99.05977127
KIR2DS2	101.91262	100.9123078	110.4562464	103.3674791	107.4007836	97.37685773	107.2774735
KIR2DS3	101.7794611	102.5208929	107.0554791	101.0590712	105.0948683	103.5758331	102.9182152
KIR2DS4	104.9065081	96.90514853	100.9855407	100.1025331	98.36693954	100.0443358	100.3063986
KIR2DS5	111.085743	110.4623938	107.4578796	107.0967073	104.3132469	110.4275828	107.2483947
KIR3DL1	101.34902	101.0293731	97.79492294	107.4124383	99.68553851	101.4148481	103.2992399
KIR3DL2	109.5236045	103.0292137	104.4220245	100.0933327	96.68334373	104.642966	101.7921329
KIR3DL3	92.38533988	93.40141784	93.29502658	91.30717553	94.9456107	90.24879826	94.3137168
KIR3DP1	106.2527326	104.7535964	103.075531	102.9637245	103.3268658	94.98718705	105.0323537
KIR3DS1	89.79065762	97.23827276	90.32889779	88.85641473	91.10091972	96.43742891	99.81394839
KIR3DX1	92.76128783	94.44230915	107.7076176	99.6183401	96.39062935	100.1127917	100.8812876
KIRREL	106.5951355	104.5586716	107.0800532	114.5486223	107.0685725	99.58470946	110.7207962
KIRREL2	123.5744119	103.1786213	91.98913168	371.9835935	100.2332808	135.1671758	113.9281017
KIRREL3	92.70473894	95.59560057	104.5807242	106.712794	93.97940657	93.64717573	93.71185156
KISS1	190.8908742	107.0961731	122.3678507	132.2106392	112.9429325	126.7607686	108.4731769
KISS1R	280.0708597	126.1297752	225.3158834	281.162569	154.3487142	142.8840744	190.1492043
KIT	260.1863736	1179.276487	905.8965405	334.8243532	2169.451587	646.8028935	491.1428535
KITLG	138.7427587	265.2773416	204.2705448	144.9583762	142.6863967	124.6669655	144.0897861
KL	92.79753501	88.75696071	93.81782836	130.6904264	91.62679967	100.0323697	95.18269626
KLB	901.5989602	129.0066002	864.9546819	128.1970379	151.2012091	128.2741979	128.3256075
KLC1	655.6888508	729.873699	854.3334014	1716.263125	820.5598058	1188.43627	807.2787795
KLC2	105.1488019	108.3861569	113.6221564	109.6294435	108.4300853	106.8522587	107.3157807
KLC3	101.4690206	112.6593007	110.7617938	105.925422	106.0766852	112.2064747	109.0246285
KLC4	122.5959241	109.4309463	123.2687435	122.4708672	117.6891722	120.8551055	114.9707835
KLF1	115.837995	114.2808888	129.6410097	115.9938946	123.7117795	111.5311801	118.6908408
KLF10	157.5390739	131.177625	121.5491429	157.8234671	129.1052212	144.0594476	144.8780033
KLF11	177.2149579	320.9660325	389.4917858	235.2466295	247.0976982	198.3232072	312.3722165
